अ     a
अपनी    apani
अपनीत apanit
अपने    apane
अपनें apanen
अपनेआप      apaneaap
अपनेपन      apanepan
अपनों apanon
अपभ्रंश   apabhramsh
अपमान apaman
अपमानजनक        apamanjanak
अपमानसूचक     apamansuchak
अपमानित   apamanit
अपमिश्रित     apamishrit
अपमुखी      apamukhaee
अपयश    apayash
अपयशकारी        apayashkari
अपर       apar
अपरंपरागतता       aparamparagatta
अपरंपार   aparampar
अपरचना      aparachana
अपरता aparata
अपरद    apard
अपरदन apardan
अपरमपार   aparmapar
अपरम्परागत  aparamparagat
अपरम्पार        aparampar
अपररूपता        aparrupata
अपरसायनविद  aparsayanvid
अपरा    apara
अपराइट      aparait
अपराजिता        aparajit
अपराजितो        aparajito
अपराजेय   aparajeya
अपराजेयता     aparajeyata
अपराध aparadha
अपराधबोध        aparadhbodha
अपराधिक   aparadhik
अपराधियों     aparadhiyo
अपराधी      aparadhi
अपराधीकरण     aparadhikaran
अपराधों   aparadho
अपरान्ह   aparanha
अपरामर्श्य  aparamshrya
अपरावर्तित  aparavartit
अपराह्न   aparahna
अपरिग्रह        aparigriha
अपरिचित   aparichit
अपरिचितता     aparichitata
अपरिचितों     aparichito
अपरिणीता        aparinita
अपरिपक्व        aparipakva
अपरिपक्वता  aparipakvata
अपरिभाषित     aparibhashit
अपरिभाष्य     aparibhashya
अपरिमित   aparimit
अपरिमेय   aparimeya
अपरिवर्तनवादी aparivartanvadi
अपरिवर्तनीय       aparivartaniya
अपरिवर्तनीयता aparivartaniyata
अपरिवर्तित  aparivartit
अपरिवर्ती     aparivarti
अपरिवर्त्य  aparivartya
अपरिशोधित     aparishodhit
अपरिष्कृत     aparishkrita
अपरिष्कृतता       aparishkritata
अपरिहारित     aparihaarit
अपरिहार्य     apariharya
अपरिहास   aparihas
अपरूप aparup
अपरूपक      aparupak
अपरूपता   aparupata
अपरोक्ष   aparoksha
अपर्णा      aparna
अपर्याप्त     aparyapta
अपर्याप्तता       aparyaptata
अपर्याप्ति  aparyapti
अपलक्षण   apalakshan
अपलाभ apalabh
अपलिंक      apalink
अपलैंड      apalaind
अपलोक apalok
अपलोड apalod
अपवंचन      apavanchan
अपवर्ग      apavarga
अपवर्जक   apavarjak
अपवर्जन   apavarjan
अपवर्जित        apavarjya
अपवर्ज्य        apavarjya
अपवर्तक   apavartak
अपवर्तन   apavartan
अपवर्तनांक  apavartanank
अपवर्तनी        apavartani
अपवर्तित        apavartit
अपवर्त्य        apavartya
अपवहन apavahan
अपवाद apavad
अपवादिक   apavadik
अपवादित   apavadit
अपवादों   apavadon
अपवाह apavah
अपविक्रय        apavikray
अपवित्र   apavitra
अपवित्रकारी       apavatrakari
अपवित्रा        apavitra
अपवित्रीकरण       apavitrikaran
अपव्यय      apavyay
अपव्ययी   apavyayi
अपशंक apashank
अपशकुन      apashkun
अपशगुन      apashgun
अपशब्द      apashabda
अपशब्दपूर्ण       apashabdapurna
अपशब्दों        apashabdo
अपशिष्ट   apashisht
अपश्रुति        apashruti
अपसंदर्भन     apasndarbhan
अपसव्य      apasavya
अपसामान्य     apasamanya
अपसामान्यता       apasaamanyata
अपसारक      apasarak
अपसारण      apasaaran
अपसारित   apasarit
अपसारी      apasari
अपसौर apasour
अपस्टार्ट     apastart
अपस्ट्रोक     apastrok
अपस्फीत   apasphit
अपस्मृति        apasmriti
अपस्वार्थी  apasvarthi
अपहरण apaharan
अपहरणकर्ता  apaharankarta
अपहर्ता   apaharta
अपहर्ताओं     apahartao
अपहानि      apahani
अपहारक      apahaarak
अपहृत apahrit
अपह्रत      apahrit
अपाकरण      apaakaran
अपाची apaachi
अपाचे apaache
अपात्र      apatra
अपात्रता        apatrata
अपान    apaan
अपामार्ग        apaanmarga
अपार    apaar
अपारदर्शिता       apaardarshita
अपारदर्शी     apardarshi
अपारा apaara
अपारिवारिक  apaarivarik
अपार्टमेंट  apartment
अपार्टमेंट  apartment
अपार्टमेन्ट       apartment
अपार्ट्मेंट       apartment
अपार्यता        aparyata
अपालतू      apaltu
अपावन apavan
अपावर्तक        apavartak
अपाहिज      apahij
अपितु apitu
अपित्त      apitt
अपिपासा   apipasa
अपील    apil
अपीलकर्ता     apilkarta
अपीलकर्ताआ  apilkartaaa
अपीलार्थी     apilarthi
अपीली apili
अपीलीय      apiliya
अपीलें      apilen
अपीलों      apilo
अपुत्रक   aputrak
अपुष्ट      apusht
अपुष्टिकर     apushtikar
अपुष्पी   apushpi
अपूप    apup
अपूयन apuyan
अपूरणीय   apurniya
अपूर्ण      apurna
अपूर्णता        apurnata
अपूर्य      apurya
अपूर्व      apurva
अपूर्वकथित  apurvakathit
अपूर्वता        apurvata
अपूर्वतासे  apurvatase
अपूर्वदृष्ट       apurvdrisht
अपूर्वा   apurvaa
अपूर्वाग्रही    apurvagrahi
अपूर्वानुमानित      apuurvanumanit
अपूर्वानुमेय    apurvanumey
अपूर्वानुमेयता      apurvanumeyta
अपेक्षणीय     apekshniya
अपेक्षतया     apekshataya
अपेक्षया        apekshaya
अपेक्षा   apeksha
अपेक्षाएं     apekshaye
अपेक्षाओं     apekshao
अपेक्षाकृत  apekshakrit
अपेक्षित        apekshit
अपेक्षी   apekshi
अपेक्ष्य        apeksy
अपॉइंटमेंट  apointment
अपॉन    apaun
अपोलो apolo
अपोहक apohak
अपोहन apohan
अप्पन appan
अप्पा appa
अप्पू appu
अप्रकाश   aprakash
अप्रकाशनीय  aprakashaniiya
अप्रकाशित     aprakashit
अप्रकाश्य     aprakashya
अप्रकृत   aprakrit
अप्रचलन   aprachalan
अप्रचलित        aprachalit
अप्रचार   aprachar
अप्रतिकार     aprtikar
अप्रतिकार्य       apratikarya
अप्रतिक्रियात्मक        apratikriyatmak
अप्रतिक्रियाशील   apratikriyashil
अप्रतिक्रियाशीलता     apratikriyashilta 
अप्रतिज्ञाबद्ध      apratigyabadh
अप्रतिदेय     apratideya
अप्रतिनिधिक       apratinidhik
अप्रतिबंधात्मक      apratibandhatmak
अप्रतिबंधित       apratibandhit
अप्रतिबद्ध  apratibadh
अप्रतिबन्ध  apratibandh
अप्रतिबन्धित    apratibandhit
अप्रतिभ   apratibh
अप्रतिभागित       apratibhagit
अप्रतिभाव्य       apratibhavya
अप्रतिम   apratim
अप्रतियोगितात्मक        apratiyogetatmak 
अप्रतिरथ        apratirath
अप्रतिरोध     apratirodh
अप्रतिरोधी  apratirodhi
अप्रतिवादित       aprativadit
अप्रतिवादी  aprativadi
अप्रतिवाद्य       aprativaadya
अप्रतिवेदित       aprativedit
अप्रतिवेद्य       aprativedya
अप्रतिशोधित       apratishodhit
अप्रतिशोधी  apratishodhi
अप्रतिष्ठा  apratishtha
अप्रतिष्ठाकर    apratishthakar
अप्रतिष्ठाकारी      apratishthakari
अप्रतिष्ठित       apratishthit
अप्रतिसंहरणीय apratisanharniya
अप्रतिस्थाप्य apratisthapy
अप्रतिस्पर्धात्मक     apratispardhatmak
अप्रतिहत        apratihat
अप्रत्यक्ष  apratyaksha
अप्रत्यक्षता    apratyakshta
अप्रत्यय        apratyay
अप्रत्यायक  apratyayak
अप्रत्यार्पणीय      apratyarpaniy
अप्रत्याशित       apratyashit
अप्रत्य्क्ष       apratyksha
अप्रदत्त        apradatta
अप्रदर्शनशील    apradarshnshil
अप्रधान   apradhan
अप्रभावनीय  aprabhavaniya
अप्रभावशाली       aprabhavshil
अप्रभावशील  aprabhavshil
अप्रभावित     aprabhavit
अप्रभावी        aprabhavi
अप्रभाव्य     aprabhavya
अप्रभाव्यता       aparbhavyata
अप्रभेद्य     aprabhedya
अप्रमाण   apraman
अप्रमाणिकता       apramanikata
अप्रमाण्य     apramanya
अप्रयुक्त     apayukta
अप्रयोग   aprayog
अप्रयोगात्मक    aprayogatmak
अप्रयोगावस्था aprayogavastha
अप्रयोज्य     aprayojya
अप्रवर्तनीय       apravartaniya
अप्रवर्ती     apravartii
अप्रवास   apravas
अप्रवासन        apravasan
अप्रवासियों       apravasiyo
अप्रवासी        apravasi
अप्रवृत   aprabrit
अप्रवेश्य     apraveshya
अप्रवेश्यता       apravesyata
अप्रशंसनीय  aprashmsaniya
अप्रशम्य        aprashamya
अप्रशिक्षित       aprashikshit
अप्रसन्न        aprasanna
अप्रसन्नता  aprasannata
अप्रसन्नतापूर्वक        aprasannatapurvak
अप्रसाद   aprasad
अप्रसार   aprasar
अप्रसारित     aprasarit
अप्रस्तुत     aprastut
अप्रस्न्न     aprasnna
अप्राकाम्य  aprakamya
अप्राकृतिक  aprakritik
अप्राक्कथनीयता      aprakkathaniyta
अप्राप्त        aprapta
अप्राप्तलक्ष्य      apraptlakshya
अप्राप्तवय  apraptvaya
अप्राप्तवयस्क apraptavayask
अप्राप्य        aprapya
अप्राप्यता  aprapyata
अप्रायिक        aprayik
अप्रार्थित  aprarthit
अप्रासंगिक  aprasamgik
अप्रासंगिकता    aprasamgikata
अप्रिय      apriya
अप्रियता        apriyata
अप्रेंटिस     aprentis
अप्रेरक   aprerak
अप्रेरित        aprerit
अप्रेल      aprel
अप्रैल      aprail
अप्रोच      aproch
अप्रौढ़      aproudh
अप्लाइड   aplaida
अप्लिकेशन     aplication
अप्सरा      apsara
अप्सराएँ        apsaraye
अप्सराओं        apsaraon
अपढ़       apadh
अफ  off
अफगान afagan
अफगानिस्तान       afaganistan
अफगानी      afagani
अफगानों   afaganon
अफजल    afajal
अफरा    afara
अफराना      afarana
अफवाह afavah
अफवाहें   afavahe
अफवाहों   afavaho
अफसर    afasar
अफसरशाही        afasarshahi
अफसरी afasari
अफसरों      afasaro
अफसाना      aphasana
अफसोस afasos
अफारा aphara
अफीम    aphim
अफेयर्स   apheyars
अफ्रिका   africa
अफ्रीकन   afican
अफ्रीका   africa
अफ्रीकांस     afrikaans
अफ्रीकियों  afrikiyo
अफ्रीकी   afriki
अब  aba
अबंधकित   abandhakit
अबकी    abaki
अबके    abake
अबखाजिया        abakhajiya
अबतक    abatak
अबरार abarar
अबरी    abari
अबरक़    abarak
अबल       abal
अबला    abala
अबा       abaa
अबाउट about
अबाध    abadh
अबाधित      abadhit
अबाबा ababa
अबिजान      abijan
अबीजीय      abeejiya
अबीर    abir
अबीसीनिया     abisiniya
अबु       abu
अबुध    abudh
अबुल    abul
अबू       abu
अबूजा abuja
अबूझ    abujh
अबूझमाड़   abujhamad
अबूझा abujha
अबे       abe
अबै       abai
अबोध    abodha
अबोधता      abodhta
अबोध्य      abodhya
अबोध्यता        abodhyata
अब्जद abjad
अब्जिनी   abjinee
अब्दाली   abdali
अब्दुर      abdur
अब्दुर्रहमान    abdurrahman
अब्दुल      abdul
अब्दुल्ला     abdulla
अब्दुल्लाह  abdullah
अब्बा abba
अब्बाजान        abbajan
अब्बास      abbasa
अब्बासी   abbasi
अब्बे abbe
अब्राम      abram
अब्राहम   abraham
अब्राह्मण     abrahman
अब्रूज़ी   abuzee
अभंग    abhang
अभंजनीयता     abhnjaniyata
अभक्ति      abhakti
अभगत    abhagat
अभद्र abhadra
अभद्रता   abhadrata
अभय       abhay
अभयदान      abhayadan
अभयपत्र   abhayaptra
अभयपुर      abhayapur
अभयप्रद   abhayaprad
अभयारण्य        abhayarnya
अभयारण्यों  abhayarnyo
अभर       abhar
अभरक    abharak
अभागा abhaga
अभागिन      abhagin
अभागिनि   abhagini
अभागी abhagi
अभागे abhage
अभागों      abhago
अभाग्य      abhagya
अभारित      abharit
अभाव    abhav
अभावग्रस्त  abhavagrast
अभावात्मक     abhavatmak
अभावों      abhavo
अभास    abhasa
अभि       abhi
अभिकरण      abhikaran
अभिकर्ता        abhikarta
अभिकर्ताओं  abhikartao
अभिकर्मक        abhikarmak
अभिकर्मकों  abhikarmako
अभिकलक      abhikalk
अभिकलन      abhikalan
अभिकल्प   abhikalpa
अभिकल्पक        abhikalpak
अभिकल्पन        abhikalpan
अभिकल्पना     abhikalpna
अभिकल्पित     abhikalpit
अभिकारक   abhikarak
अभिक्रिया     abhikriya
अभिक्रियाएँ       abhikriyaye
अभिक्रियाएं       abhikriyaye
अभिक्रियाओं       abhikriyao
अभिक्रियाशील    abhikriyashil
अभिक्षमता     abhikshmata
अभिगणना   abhiganana
अभिगम abhigam
अभिगमन      abhigaman
अभिगम्य   abhigamya
अभिगम्यता     abhigamyata
अभिग्रहण        abhigrahan
अभिग्रहणशील       abhigrahanshil
अभिघात      abhighat
अभिघातक   abhighatak
अभिघातज   abhighatj
अभिघातजन्य  abhighatjany
अभिघातविज्ञान abhighatvigyan
अभिचार      abhichar
अभिजन abhijan
अभिजनक      abhijanak
अभिजात      abhijat
अभिजाततंत्र       abhijattntra
अभिजातवाद     abhijatvad
अभिजाति   abhijati
अभिजातीयकरण       abhijatiyakaran 
अभिजात्य        abhijatya
अभिजित      abhijit
अभिजित्   abhijit
अभिजीत      abhijeet
अभिज्ञ      abhigya
अभिज्ञता        abhigyata
अभिज्ञात        abhigyat
अभिज्ञान        abhigyan
अभित्रास        abhitras
अभिदत्त   abhidatta
अभिदाता   abhidata
अभिदान      abhidan
अभिदान      abhidan
अभिदायी   abhidayi
अभिद्रोह        abhidroh
अभिद्वार        abhidvar
अभिनंदन   abhinandan
अभिनंदी   abhinandi
अभिनति      abhinati
अभिनन्दन        abhinandan
अभिनन्दनपत्र    abhinandanpatra
अभिनय abhinaya
अभिनव abhinav
अभिनियम   abhiniyam
अभिनिर्णय     abhinirnay
अभिनिर्णायक       abhinirnayak
अभिनिर्धारण       abhinirdharin
अभिनिर्धारित    abhinidharit
अभिनीत      abhinit
अभिनीति   abhiniti
अभिनेट्री     abhinetri
अभिनेता   abhineta
अभिनेताओं     abhinetao
अभिनेत्रियों    abhinetriyo
अभिनेत्री     abhinetri
अभिन्न      abhinna
अभिन्यास        abhinyas
अभिप्राप्त  abhiprapta
अभिप्राप्य  abhiprapya
अभिप्राय        abhipraya
अभिप्रायपूर्ण abhiprayapurna
अभिप्रायानुसार      abhiprayanusar
अभिप्रेत        abhipret
अभिप्रेरक     abhiprerak
अभिप्रेरण     abhiprerana
अभिभव abhibhv
अभिभाव      abhibhav
अभिभावक   abhibhavak
अभिभावकता     abhibhavakta
अभिभावकहीन  abhibhavakhin
अभिभावकों     abhibhavako
अभिभाषक   abhibhashak
अभिभाषण   abhibhashan
अभिभूत      abhibhut
अभिमंत्रित  abhimentrit
अभिमत abhimat
अभिमन्यु        abhimanu
अभिमान      abhiman
अभिमानपूर्वक    abhimanpurvak
अभिमानरहित  abhimanrahat
अभिमानी   abhimani
अभियंता   abhiyanta
अभियंताओं     abhiyantao
अभियंत्रण     abhiyantran
अभियन्ता        abhiyanta
अभियांत्रिकी    abhiyantriki
अभियाचना        abhiyachana
अभियान      abhiyan
अभियानों        abhiyano
अभियान्त्रिकी abhiyantriki
अभियुक्त        abhiyukta
अभियुक्ति     abhiyukti
अभियुक्तों  abhiyukto
अभियोक्ता     abhiyokta
अभियोक्तृ     abhiyoktri
अभियोक्त्री       abhiyoktree
अभियोगी   abhiyogi
अभियोजक   abhiyojak
अभियोजकीय     abhiyojakiy
अभियोजकों     abhiyojako
अभियोजन   abhiyojan
अभियोजित        abhiyojit
अभियोज्य        abhiyojya
अभियोज्यता  abhiyojyata
अभिरंजक   abhiranjak
अभिरंजित        abhiranjit
अभिरक्षक        abhirkshk
अभिरक्षण        abhirakshan
अभिरक्षा        abhiraksha
अभिरक्षित     abhirakshti
अभिराम      abhiram
अभिरुचि   abhiruchi
अभिरूचि   abhiruchi
अभिलंबता        abhilambta
अभिलक्षण        abhilakshan
अभिलक्षणों  abhilakshano
अभिलषित   abhilashit
अभिलाष      abhilash
अभिलाषा   abhilasha
अभिलाषाओं     abhilashao
अभिलाषित        abhilashit
अभिलाषी   abhilashi
अभिलाषीना     abhilasheena
अभिलिखित        abhilikhit
अभिलेख      abhilekha
अभिलेखक   abhilekhak
अभिलेखन   abhilekhan
अभिलेखपाल     abhilekhpal
अभिलेखागार  abhilekhagaar
अभिलेखाध्यक्ष abhilekhadhyaksh
अभिलेखानुसार    abhilekhanusar
अभिलेखित        abhilekhit
अभिलेखी   abhilekhi
अभिलेखीय        abhilekhiya
अभिलेखों        abhilekhao
अभिवंद्य        abhivndya
अभिवर्तक        abhivartak
अभिवर्धित     abhivardhit
अभिवर्धी        abhivardhi
अभिवादन   abhivadan
अभिवादित        abhivadit
अभिवाद्य        abhivadya
अभिवाह      abhivah
अभिवाही   abhivahi
अभिविन्यास  abhivinyas
अभिवृत्ति     abhivritti
अभिवृद्धि     abhivridhi
अभिव्यंजक     abhivyanjak
अभिव्यंजकता       abhivyanjakata
अभिव्यंजना  abhivanjana
अभिव्यंजनावाद abhivyanjanavad
अभिव्यंजनावादी      abhivaynjanavadi
अभिव्यक्त     abhivakt
अभिव्यक्ति  abhivyakti
अभिव्यक्तियाँ abhivyaktiya
अभिव्यक्तियां abhivyaktiya
अभिव्यक्तियों abhivyaktiyo
अभिव्यक्तिशील abhivyatishil
अभिशंसन   abhishnsan
अभिशप abhishp
अभिशप्त   abhishpt
अभिशाप      abhishap
अभिशापित        abhishapit
अभिशासन   abhishasan
अभिशासित        abhishasit
अभिषंगी   abhishangee
अभिषद abhishad
अभिषिक्त        abhishikt
अभिषेक      abhishek
अभिषेक्ता     abhishektaa
अभिसमय      abhisamaya
अभिसरण      abhisaran
अभिसार      abhisar
अभिसारिका     abhisarika
अभिसारी   abhisari
अभिसूचक   abhisuchak
अभिस्वीकृति       abhisvikriti
अभिहस्तांकन       abhihstankan
अभिहस्तांतरक    abhihstantark
अभिहित      abhihit
अभी       abhi
अभीत    abhit
अभीप्सा   abhipsa
अभीप्सित        abhipsit
अभीप्सु   abhipsu
अभीर    abhir
अभीष्ट      abhisht
अभूत    abhut
अभूतपूर्व     abhutpurv
अभेद    abhed
अभेद्य      abhedya
अभेद्यता        abhedyata
अभोगी abhogi
अभोजित      abhojit
अभोज्य      abhijya
अभ्यर्थियों       abhyrthiyo
अभ्यर्थी        abhyrthi
अभ्यस्त   abhyast
अभ्यारण   abhyaran
अभ्यारण्य     abhyaranya
अभ्यारोपणीय       abhyaropneeya
अभ्यारोप्य  abhyaropy
अभ्यावेदक     abhyavedak
अभ्यावेदन     abhyavedan
अभ्यास      abhyas
अभ्यासकार्य       abhyaskarya
अभ्यासगत        abhyasagat
अभ्यासों        abhyaso
अभ्युदय   abhyudaya
अभ्रक abhrak
अभ्रांत   abhrant
अभ्रोत्थ        abhrotth
अमंगल amangal
अमंगलसूचक     amangasuchak
अमकट    amakat
अमचूर amachur
अमजद    amajda
अमत्त amatt
अमत्तता   amattta
अमन       aman
अमनपसंद   amanpasamda
अमनपसंदवाद  amanpasamdavad
अमनोहर      amanohar
अमर       amar
अमरकंटक   amarkantak
अमरकांत   amarkant
अमरकोष      amarkosh
अमरजीत      amarjit
अमरता amarta
अमरत्व      amartv
अमरनाथ      amarnath
अमरपक्षी        amarpakshi
अमरपुर      amarpur
अमरबेल      amarbel
अमरसिंह   amarsinha
अमरा    amaraa
अमराचार्य     amaracharya
अमरापुरकर     amarapurkar
अमरावती   amaravati
अमरिंदर   amarindar
अमरिका      amarika
अमरिकी      amariki
अमरी    amari
अमरीकन      amarican
अमरीका      amarica
अमरीकियों     amarikiyo
अमरीकी      ameriki
अमरीश amarisha
अमरुद amarud
अमरूद amarud
अमरेन्द्र     amarendra
अमरेली      amareli
अमरेश amaresha
अमरेश्वर        amareshwar
अमरोहा      amaroha
अमरौली      amarouli
अमर्त्य   amartya
अमर्यादा        amaryadaa
अमर्यादाशील       amaryaadaashil
अमर्यादित     amaryadit
अमर्ष amarsh
अमल       amal
अमलतास      amalatas
अमलतासी   amalatasi
अमला    amala
अमशीनी      amashini
अमांडा      amanda
अमान    aman
अमानक amanak
अमानत amanat
अमाननीय   amananiy
अमानवीय   amanaviya
अमानवीयता     amanaviyata
अमाना amanaa
अमानी amaani
अमानुषिकता  amanushikata
अमानुषी   amaanushi
अमान्य      amanya
अमान्यकरण     amanyakaran
अमान्यकरणीय       amaanyakaraniy
अमान्यता        amanyata
अमान्यताप्राप्त   amanyataprapta
अमार    amaar
अमावस amaavas
अमावस्या        amavasyaa
अमाशय amashaya
अमिट    amit
अमित    amit
अमिता amita
अमिताभ      amitabh
अमित्र      amitra
अमित्रतापूर्ण amitratapurn
अमित्रवत        amitravat
अमिय    amiya
अमिया amiya
अमिर    amir
अमिल    amil
अमी       ami
अमीचंद      amichand
अमीटर amiitar
अमीन    ameen
अमीना ameena
अमीनाबाद        ameenabad
अमीनो ameeno
अमीबा ameeba
अमीर    ameer
अमीरात      ameerat
अमीरी ameeri
अमीरों      amiron
अमुक    amuk
अमुक्त      amukta
अमुख    amukha
अमुद्रणीय     amudraniya
अमूत्रता        amutrata
अमूमन amuman
अमूर्त      amurt
अमूर्तता        amurtta
अमूर्तन   amurtan
अमूर्तवाद     amurtvad
अमूर्तवादी  amurtavadi
अमूल    amul
अमूलक amulak
अमूल्य      amulya
अमूल्यता        amulyata
अमृत    amrit
अमृतधारा        amritdhara
अमृतपुर   amritpur
अमृतमय      amritmaya
अमृतराज   amritraj
अमृतलाल   amritlal
अमृतवाणी        amritavani
अमृतसर      amritsar
अमृता amrita
अमृतेशय   amriteshaya
अमेंडा      amenda
अमेजन amenjan
अमेठना      amethana
अमेठी amethi
अमेरिकन   american
अमेरिका   america
अमेरिकावासी       americavasi
अमेरिकास        americas
अमेरिकियों  americiyo
अमेरिकी   ameriki
अमेरिकीकरण  amerikikaran
अमेरीका   america
अमेल    amel
अमेज़न amezan
अमेज़िंग   amezing
अमोघ    amogha
अमोघवर्ष        amogavarsh
अमोचनीय   amochaniy
अमोनियम   amoniyam
अमोनिया   amoniya
अमोल    amol
अमोला amola
अमोली amoli
अमौखिक      amoukhik
अमौलिक      amoulik
अमौलिकता        amoulikta
अम्पायर   ampayar
अम्बर ambar
अम्बरीष   ambarish
अम्बष्ठ   ambashth
अम्बा amba
अम्बार      ambar
अम्बाला   ambala
अम्बालिका     ambalik
अम्बिका   ambika
अम्बिकापुर  ambikapur
अम्बे ambe
अम्बेडकर        ambedakar
अम्मा amma
अम्माँ      ammaa
अम्मान      amman
अम्मी ammai
अम्मोनियों  ammoniyo
अम्ल    aml
अम्लजन      amlajan
अम्लता      amlata
अम्लनाशक        amlanashak
अम्लपित्त     amlapitt
अम्लमयता        amlamayata
अम्लमितीय     amlamitiy
अम्लरक्तता  amlarktta
अम्लशूल   amlashul
अम्लान      amlan
अम्लापकर्षक       amlapkarshk
अम्लीकरण        amlikaran
अम्लीकरण्     amlikaran
अम्लीकृत        amlikrit
अम्लीभवन        amlibhavan
अम्लीय      amliya
अम्लीयता        amliyata
अम्लों      amlo
अम्हौरी   amhouri
अमज़द    amzad
अयंत्रचालित       ayantrachaalit
अयंत्रित        ayantrit
अयथार्थ   ayathartha
अयथार्थता     ayatharthata
अयथार्थवाद  ayatharthavad
अयथार्थवादी       ayatharthavadi
अयन       ayan
अयनांत      ayanant
अयश       ayash
अयशस्कर   ayashskr
अयस्क ayask
अयाजक ayajk
अयातुल्ला     ayatulla
अयान    ayaan
अयाना ayaana
अयाल    ayaal
अयुक्तता        ayuktta
अयुग्म      ayugma
अयुग्मक   ayugmak
अयुत    ayut
अयूथचर      ayuthachr
अयूब    ayuba
अयोग    ayog
अयोग्य      ayogya
अयोग्यता        ayogyeta
अयोध्या   ayodhya
अयोध्याकाण्ड    ayodhyakand
अयोध्यासिंह       ayodhyasinha
अय्यर ayyar
अय्याशी   ayyashi
अय्यूब      ayyub
अर  ar
अरंजित      aranjit
अरंडी arandi
अरक       arak
अरकांसास        arakamsas
अरक्तक      araktak
अरक्तता   araktta
अरक्तताजन्य       arakttajanya
अरक्षणीय        arakshniya
अरक्षात्मक  arkshatmak
अरक्षित   arkshit
अरक्षितता     arakshitta
अरगन    aragan
अरचित arachit
अरजिस्टरीकृत    arajistarikrit
अरण्डी      arandi
अरण्य aranya
अरथ       arath
अरथी    arathi
अरदली aradali
अरदास aradas
अरधंग aradhang
अरना    arana
अरनी    arani
अरपा    arapa
अरब       arab
अरबपति      arabpati
अरबपतियों     arabptiyo
अरबस्क      arabask
अरबाज़ arbaz
अरबिया      arabiya
अरबी    arabi
अरबों arabon
अरमान araman
अरमानी      aramani
अरमानों   aramano
अरराना      ararani
अररिया      arariya
अरवल    araval
अरविंद      aravind
अरविन्द   aravind
अरवी    aravi
अरशद    arashd
अरसा    arasa
अरसे    arase
अरस्तु      arastu
अरस्तू      arastu
अरहर    arahar
अराउंड      around
अराजक arajak
अराजकता   arajakta
अराजकतावाद  arajaktavad
अराजकतावादी       arajaktavadi
अराजकतावाद्       arajaktavad
अराजनीतिक     arajanitik
अराजनीतिज्ञोचित   arajanitigyochit 
अराजनैतिक     arajnaitik
अराजपत्रित  arajpatrit
अराजी araaji
अराति araati
अराधना      aradhana
अराफात      arafat
अराबा araba
अरारोट      ararot
अराल    aral
अरालदंड   araladand
अरावल araval
अरावली      aravali
अरास    aras
अरि       ari
अरिमर्दन        aramardan
अरिष्ट      arisht
अरिष्टनेमि  arishtanemi
अरिष्टा   arishta
अरिहंत      arihant
अरीय    ariy
अरुंधति   arundhti
अरुंधती   arundhti
अरुचि aruchi
अरुचिकर   aruchikar
अरुचिकरता     aruchikarata
अरुण    arun
अरुणा aruna
अरुणांचल        arunanchal
अरुणाचल   arunachal
अरुणाश्व        arunashv
अरुणित      arunit
अरुणिमा   arunima
अरुणोदय   arunodaya
अरुन    arun
अरुनारा   arunara
अरुन्धती        arundhati
अरूचि aruchi
अरूचिकर   aruchikar
अरूण    arun
अरूणाचल   arunachal
अरूणिमा   arunima
अरूप    arup
अरूढ़िवादी     arudhivadi
अरे       are
अरेंजमेंट     arengment
अरेबियन   arebian
अरेराज      areraj
अरैखिक      araikhik
अरोगी arogi
अरोचक arochak
अरोचकता   arochakta
अरोदित      arodhit
अरोरा arora
अरोड़ा aroda
अर्क    ark
अर्कांसस        arkasas
अर्ग    arg
अर्गल argal
अर्गला      argala
अर्गोन      argon
अर्घ    argha
अर्चक archak
अर्चन archan
अर्चना      archana
अर्चित      archit
अर्जक arjak
अर्जन arjan
अर्जित      arjit
अर्जितश्वित्र arjitshwitra
अर्जी arji
अर्जुन      arjun
अर्जेंट   argent
अर्जेंटीना  argentina
अर्जेंटीनी  argentini
अर्जेटीना     argentina
अर्जेण्टीना       argentina
अर्जेन्ट        argent
अर्जेन्टीना       argentina
अर्थ    artha
अर्थकर      arthakar
अर्थकार   arthakar
अर्थतः      arthth
अर्थदंड   arthadand
अर्थदण्ड        arthadand
अर्थदर्शक     arthadarshk
अर्थनीति        arthaniti
अर्थपूरण        arthapurna
अर्थपूर्ण     arthapurna
अर्थपूर्णता       arthapurnata
अर्थपूर्णतासे arthapurnatase
अर्थमिति        arthamiti
अर्थवत      arthavat
अर्थवत्ता     arthatta
अर्थविज्ञान       arthavigyan
अर्थव्यवस्था    arthavyavastha
अर्थव्यवस्थाएँ      artahvyavasthaye
अर्थव्यवस्थाओं      arthavyavasthao
अर्थव्यस्था       arthavyastha
अर्थशास्त्र       arthashasta
अर्थशास्त्रियों   arthashastriyo
अर्थशास्त्री    arthashastri
अर्थहीन   arthahin
अर्थहीनता     arthahinata
अर्थात      arthat
अर्थात्   arthat
अर्थिक      arthik
अर्थी arthi
अर्थो artho
अर्थों      arthon
अर्थोपाय        arthopaya
अर्थोपार्जन       arthoparjan
अर्थ्स      arths
अर्द्ध      arddha
अर्द्धचंद्र       arddhachandra
अर्द्धचन्द्र    arddhachandra
अर्द्धचन्द्राकार        arddhachandrakar
अर्द्धतः        arddhath
अर्द्धनग्न  arddhanagn
अर्द्धनारीश्वर      arddhanarishvor
अर्द्धन्यायिक arddhanyayik
अर्द्धपारदर्शी      arddhapardarshi
